Id,Dialogue_id,Utterance_id,Sentence,Speaker,Label,fname,Dialogue_id_old
8920,Charlie_S02E19.csv_1,0,Previously on Good luck Charlie The Duncans are going to Hawaii! What?! - I'm Teddy.,Bob/Teddy,0,Charlie_S02E19.csv,1
8921,Charlie_S02E19.csv_2,0,"Aloha, Teddy.",Others,0,Charlie_S02E19.csv,2
8922,Charlie_S02E19.csv_2,1,I'm kai.,Others,0,Charlie_S02E19.csv,2
8923,Charlie_S02E19.csv_3,0,We missed you yesterday at the time share presentation.,Others,0,Charlie_S02E19.csv,3
8924,Charlie_S02E19.csv_3,1,"If you don't attend the one today, We'll be forced to charge you for your entire trip.",Others,0,Charlie_S02E19.csv,3
8925,Charlie_S02E19.csv_4,0,What are you doing? Putting a curse on you.,Others,1,Charlie_S02E19.csv,4
8926,Charlie_S02E19.csv_5,0,Swimming and jellyfish.,Amy,1,Charlie_S02E19.csv,5
8927,Charlie_S02E19.csv_5,1,Things keep happening.,Amy,1,Charlie_S02E19.csv,5
8928,Charlie_S02E19.csv_6,0,"Please, God, if you let me live through this, I promise I'll do something good.",Gabe,1,Charlie_S02E19.csv,6
8929,Charlie_S02E19.csv_7,0,"Charlie? Charlie? Charlie? Here, girl.",Teddy,0,Charlie_S02E19.csv,7
8930,Charlie_S02E19.csv_7,1,"Come out, come out wherever you are, Before Teddy starts to cry.",Teddy,0,Charlie_S02E19.csv,7
8931,Charlie_S02E19.csv_7,2,"Hey, honey.",Bob,0,Charlie_S02E19.csv,7
8932,Charlie_S02E19.csv_7,3,"Oh, dad.",Teddy,0,Charlie_S02E19.csv,7
8933,Charlie_S02E19.csv_7,4,"What's up? - Oh, nothing.",Bob/Teddy,0,Charlie_S02E19.csv,7
8934,Charlie_S02E19.csv_7,5,Just a quick plant inspection.,Teddy,1,Charlie_S02E19.csv,7
8935,Charlie_S02E19.csv_7,6,"Yep, ficus.",Teddy,0,Charlie_S02E19.csv,7
8936,Charlie_S02E19.csv_7,7,"Teddy, you okay? I'm fine.",Bob/Teddy,1,Charlie_S02E19.csv,7
8937,Charlie_S02E19.csv_7,8,"So have you seen anyone around the hotel from the family, You know, kid-wise? You've already seen me, So I guess it'd have to be one of the others like P.J.",Teddy,0,Charlie_S02E19.csv,7
8938,Charlie_S02E19.csv_7,9,Or Gabe or Charlie.,Teddy,0,Charlie_S02E19.csv,7
8939,Charlie_S02E19.csv_7,10,"Did you hit your head again? Did you hit yours? What's with all the questions? Hold on, hold on.",Bob/Teddy,1,Charlie_S02E19.csv,7
8940,Charlie_S02E19.csv_8,0,"Here you go, sweetie.",Others,0,Charlie_S02E19.csv,8
8941,Charlie_S02E19.csv_8,1,You need to wear one of these.,Others,0,Charlie_S02E19.csv,8
8942,Charlie_S02E19.csv_8,2,Why? Because we don't want you to get lost.,Others,0,Charlie_S02E19.csv,8
8943,Charlie_S02E19.csv_8,3,Let's go.,Others,0,Charlie_S02E19.csv,8
8944,Charlie_S02E19.csv_8,4,"Okay, come on, let's go this way.",Others,0,Charlie_S02E19.csv,8
8945,Charlie_S02E19.csv_9,0,"? Come on, P.J.",Gabe,0,Charlie_S02E19.csv,9
8946,Charlie_S02E19.csv_9,1,I need your list of fears.,Gabe,0,Charlie_S02E19.csv,9
8947,Charlie_S02E19.csv_9,2,Don't rush me.,PJ,0,Charlie_S02E19.csv,9
8948,Charlie_S02E19.csv_9,3,"That reminds me, Number 27, being how do you spell rushed'? Gimme that.",PJ,1,Charlie_S02E19.csv,9
8949,Charlie_S02E19.csv_9,4,"things P.J.'s afraid of clowns, heights, falling,' Spiders, unicorns, Trolls, ogres.",Gabe,0,Charlie_S02E19.csv,9
8950,Charlie_S02E19.csv_9,5,"Okay, how about we start actually exist? T.",Gabe,0,Charlie_S02E19.csv,9
8951,Charlie_S02E19.csv_9,6,Good idea.,PJ,0,Charlie_S02E19.csv,9
8952,Charlie_S02E19.csv_9,7,"Where you gonna find an ogre in Hawaii? Okay, item number one.",PJ,1,Charlie_S02E19.csv,9
8953,Charlie_S02E19.csv_9,8,"You ready? Yeah, I think so.",Gabe/PJ,0,Charlie_S02E19.csv,9
